제품그룹,제품군,세부제품,펫네임,모델코드,모델요약,출시일,색상코드,부품명,세부항목,기타,PART_NO,SPEC,상세스펙,표준품명,총예상 수리비(미반납가),총예상 수리비(반납가),Content
THS,스마트폰,S 시리즈,갤럭시 S23,SM-S911NLGEKOO,SM-S911,23년 02월,(LG) LIGHT GREEN,메인보드,256GB,-,GH82-30597S,"SM-S911N,DOM","SVC PBA-MAIN(KOR/SKT/DS),SM-S911N_256GB",MAIN PCB,"457,000","457,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S23, 모델코드 : SM-S911NLGEKOO, 모델요약 : SM-S911, 출시일 : 23년 02월, 색상코드 : (LG) LIGHT GREEN, 부품명 : 메인보드, 세부항목 : 256GB, 기타 : , PART_NO : GH82-30597S, SPEC : SM-S911N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/SKT/DS),SM-S911N_256GB, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 457000, 총예상 수리비(반납가) : 457000"
THS,스마트폰,S 시리즈,갤럭시 S23,SM-S911NLGFKOO,SM-S911,23년 02월,(LG) LIGHT GREEN,메인보드,512GB,-,GH82-30660S,"SM-S911N,DOM",SVC PBA-MAIN(KOR/SKT/DS)SM-S911N_512GB;S,MAIN PCB,"497,000","497,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S23, 모델코드 : SM-S911NLGFKOO, 모델요약 : SM-S911, 출시일 : 23년 02월, 색상코드 : (LG) LIGHT GREEN, 부품명 : 메인보드, 세부항목 : 512GB, 기타 : , PART_NO : GH82-30660S, SPEC : SM-S911N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/SKT/DS)SM-S911N_512GB;S, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 497000, 총예상 수리비(반납가) : 497000"
THS,스마트폰,S 시리즈,갤럭시 S23,SM-S911NLIEKOC,SM-S911,23년 02월,(LI) LIGHT PINK,메인보드,256GB,-,GH82-30597S,"SM-S911N,DOM","SVC PBA-MAIN(KOR/SKT/DS),SM-S911N_256GB",MAIN PCB,"457,000","457,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S23, 모델코드 : SM-S911NLIEKOC, 모델요약 : SM-S911, 출시일 : 23년 02월, 색상코드 : (LI) LIGHT PINK, 부품명 : 메인보드, 세부항목 : 256GB, 기타 : , PART_NO : GH82-30597S, SPEC : SM-S911N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/SKT/DS),SM-S911N_256GB, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 457000, 총예상 수리비(반납가) : 457000"
THS,스마트폰,S 시리즈,갤럭시 S23,SM-S911NLIEKOD,SM-S911,23년 02월,(LI) LIGHT PINK,메인보드,256GB,-,GH82-30597S,"SM-S911N,DOM","SVC PBA-MAIN(KOR/SKT/DS),SM-S911N_256GB",MAIN PCB,"457,000","457,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S23, 모델코드 : SM-S911NLIEKOD, 모델요약 : SM-S911, 출시일 : 23년 02월, 색상코드 : (LI) LIGHT PINK, 부품명 : 메인보드, 세부항목 : 256GB, 기타 : , PART_NO : GH82-30597S, SPEC : SM-S911N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/SKT/DS),SM-S911N_256GB, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 457000, 총예상 수리비(반납가) : 457000"
THS,스마트폰,S 시리즈,갤럭시 S23,SM-S911NLIEKOO,SM-S911,23년 02월,(LI) LIGHT PINK,메인보드,256GB,-,GH82-30597S,"SM-S911N,DOM","SVC PBA-MAIN(KOR/SKT/DS),SM-S911N_256GB",MAIN PCB,"457,000","457,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S23, 모델코드 : SM-S911NLIEKOO, 모델요약 : SM-S911, 출시일 : 23년 02월, 색상코드 : (LI) LIGHT PINK, 부품명 : 메인보드, 세부항목 : 256GB, 기타 : , PART_NO : GH82-30597S, SPEC : SM-S911N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/SKT/DS),SM-S911N_256GB, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 457000, 총예상 수리비(반납가) : 457000"
THS,스마트폰,S 시리즈,갤럭시 S23,SM-S911NLIFKOC,SM-S911,23년 02월,(LI) LIGHT PINK,메인보드,512GB,-,GH82-30660S,"SM-S911N,DOM",SVC PBA-MAIN(KOR/SKT/DS)SM-S911N_512GB;S,MAIN PCB,"497,000","497,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S23, 모델코드 : SM-S911NLIFKOC, 모델요약 : SM-S911, 출시일 : 23년 02월, 색상코드 : (LI) LIGHT PINK, 부품명 : 메인보드, 세부항목 : 512GB, 기타 : , PART_NO : GH82-30660S, SPEC : SM-S911N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/SKT/DS)SM-S911N_512GB;S, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 497000, 총예상 수리비(반납가) : 497000"
THS,스마트폰,S 시리즈,갤럭시 S23,SM-S911NLIFKOD,SM-S911,23년 02월,(LI) LIGHT PINK,메인보드,512GB,-,GH82-30660S,"SM-S911N,DOM",SVC PBA-MAIN(KOR/SKT/DS)SM-S911N_512GB;S,MAIN PCB,"497,000","497,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S23, 모델코드 : SM-S911NLIFKOD, 모델요약 : SM-S911, 출시일 : 23년 02월, 색상코드 : (LI) LIGHT PINK, 부품명 : 메인보드, 세부항목 : 512GB, 기타 : , PART_NO : GH82-30660S, SPEC : SM-S911N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/SKT/DS)SM-S911N_512GB;S, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 497000, 총예상 수리비(반납가) : 497000"
THS,스마트폰,S 시리즈,갤럭시 S23,SM-S911NLIFKOO,SM-S911,23년 02월,(LI) LIGHT PINK,메인보드,512GB,-,GH82-30660S,"SM-S911N,DOM",SVC PBA-MAIN(KOR/SKT/DS)SM-S911N_512GB;S,MAIN PCB,"497,000","497,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S23, 모델코드 : SM-S911NLIFKOO, 모델요약 : SM-S911, 출시일 : 23년 02월, 색상코드 : (LI) LIGHT PINK, 부품명 : 메인보드, 세부항목 : 512GB, 기타 : , PART_NO : GH82-30660S, SPEC : SM-S911N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/SKT/DS)SM-S911N_512GB;S, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 497000, 총예상 수리비(반납가) : 497000"
THS,스마트폰,S 시리즈,갤럭시 S23,SM-S911NZAEKOO,SM-S911,23년 02월,(ZA) GRAY,메인보드,256GB,-,GH82-30597S,"SM-S911N,DOM","SVC PBA-MAIN(KOR/SKT/DS),SM-S911N_256GB",MAIN PCB,"457,000","457,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S23, 모델코드 : SM-S911NZAEKOO, 모델요약 : SM-S911, 출시일 : 23년 02월, 색상코드 : (ZA) GRAY, 부품명 : 메인보드, 세부항목 : 256GB, 기타 : , PART_NO : GH82-30597S, SPEC : SM-S911N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/SKT/DS),SM-S911N_256GB, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 457000, 총예상 수리비(반납가) : 457000"
THS,스마트폰,S 시리즈,갤럭시 S23,SM-S911NZAFKOO,SM-S911,23년 02월,(ZA) GRAY,메인보드,512GB,-,GH82-30660S,"SM-S911N,DOM",SVC PBA-MAIN(KOR/SKT/DS)SM-S911N_512GB;S,MAIN PCB,"497,000","497,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S23, 모델코드 : SM-S911NZAFKOO, 모델요약 : SM-S911, 출시일 : 23년 02월, 색상코드 : (ZA) GRAY, 부품명 : 메인보드, 세부항목 : 512GB, 기타 : , PART_NO : GH82-30660S, SPEC : SM-S911N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/SKT/DS)SM-S911N_512GB;S, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 497000, 총예상 수리비(반납가) : 497000"
