score,review_content
5,최근에 나온 스마트폰중에 가장 마음에 들어서 구입하게 되었던거 같아요. 기존에 사용하던 요금제 그대로 쓸 수 있어서 무조건 자급제로 구매했구요. 주위에도 s23 완전 강력추천입니다.
5,"<br/>S21,S22 건너뛰고 S23 많이 가다렸다<br/><br/>발열없고 손에 잡는 크기와 빠른 동작속도 넉넉한 배터리와 전체적으로 간편한 어플에 외관도 깔끔하게 출시되었고 삼성멤버스 자가 진단시 정상이며 수많은 기능을 담았고 스냅드래곤 칩셋으로 동작속도 빠르고 발열이슈 해결되고 배터리 또한 넉넉하다<br/><br/>다만 S램이 8G에서 12G였으면하고 스트리지또한 256G에서 512G였으면하고 메모리 확장팩 버전이 나왔으면하고 기본 충전기어댑터와 젤타입 케이스, 디스플레이 커버 필름 등 원가절감이 아쉽다<br/><br/>구매 후 택배 배송 완료되고 개통하고 함박 눈이 쏟아져 카메라 촬영시 또렸하다<br/><br/><br/><br/>"
5,배송도 엄청 빠르고 배송기사님 친절함이 너무 좋았습니다<br/><br/>부득이한 상황으로 배송지 변경 혹은 수령 관련하여 문제가 있었는데 친절한 답변으로 잘 받았습니다!.<br/><br/>핸드폰은 말할 것도 없이 색상 너무 이쁘고 성능 엄청 좋네요<br/><br/>무엇보다 배터리가 5000 이라더니 확실히 오래갑니다!.<br/><br/>자랑하는 카메라 역시 엄청납니다 그냥 너무 이쁘게 찍혀요<br/><br/>앞으로도 갤럭시 계속 이용하겠습니다~~
5,우선 빠르고 기능이 훨씬 좋아졌어요<br/>제품 디자인도 좋습니다.
5, 삼성전자 이벤트 참여<br/>#삼성닷컴 #베스트리뷰챌린지 #삼성전자이벤트<br/><br/>갤럭시10을 사용하다가 화면이라던지 최근에 나오는 갤럭시 제품들과의<br/>성능차이 부분이 맘에 들지 않았을때쯤 갤럭시 S23을 알게되었고<br/>그중에서도 울트라 512G를 보게 되었다 핸드폰을 보러 기흥리빙파워센터에<br/>가게되었고 실물을 보고나서 &quot;이거다&quot;라는 느낌을 받았고 큰 망설임없이<br/>구매를 선택하게 되었다<br/>기존에 쓰던 핸드폰보다 화면이 크다보니 화면이 더 커지다보니<br/>유튜브를 자주 보는 나로써는 만족감이 더크게 다가왔고<br/>카메라 화질부터 앱실행하는 속도 그리고 저장장치까지 만족한 부분이<br/>한두개가 아니었다 역시 제품은 거거익선인것인가 제품을 사고 사용하는<br/>부분에서 불만이 없을정도로 만족하면서 사용하고 있다
5,S24 출시가 코! 앞에 다가왔습니다. 그런데 저는 검증된 생산공정이 상당히 최적화/안정화 된 S23 울트라를 고심끝에 구매하기로 결정했습니다!<br/><br/>후회없이 잘 사용하겠습니다~!
5,"최고의 성능. 그중에서도 카메라는 압도적이죠. 저는 아이의 사진을 찍기위해 이번에는 카메라가 현존 최고인 s23울트라를 구매했는데요. 첨부한 사진은 첫번째 사진은 전에 쓰던 폰으로 최대한 줌을 땡겼을때 두번째 울트라로 최대 줌을 땡겼을때의 차이입니다. 멀리서만 바라보던 섬을 망원경없이 가까이서 볼 수 있다는 큰 장점과 넉넉한 메모리, 거기다가 s펜의 활용은 금상첨화죠. "
5,23울트라가  아직 출고가가 많이 안떨어져서 24를 기다릴까 고민하다 일단 카메라  때문에 24 안기다라고 23울트라 샀는데 넘좋네요. 통신사끼고 살려고 했는데 512가 품절이라서  어쩔수없이 자급제로 샀는건ㅜㅜ<br/>아쉬운건 좀 무겁네요 나머지는 좋아요
5,"#삼성전자이벤트참여<br/>울트라 제품답게 크기며, 카메라며, 성능까지, 매우 만족스럽습니다. 크림 색상을 선택했는데, 제일 깔끔하면서 어떤 케이스와도 궁합이 잘 맞아서 마음에 듭니다. 이번에 업데이트 된 One UI 6.0까지 더해지니 더 만족스러운 경험으로 사용하고 있습니다."
5,사용하기 너무너무 편하고 게임이랑 여러가지 다 잘돌아가요<br/>화면 크기도 딱좋고 음질 카메라 다좋아요<br/>강추합니다 <br/>여러사람들이 쓰는 이유가 다있네요<br/>앞으로도 계속 갤럭시만 써야겠어요 너무 만족합니다아<br/><br/>#삼성전자이벤트참여
